em_sharp,tr_sharp,actual,p_orig,p_h1,p_h11,p_h2,err_orig,err_h1,err_h11,err_h2,best
0.0,0.0,0.3396666666666667,0.33353666607579036,0.3335834249479035,0.9259576978743684,0.3335053541104432,0.006130000590876317,0.006083241718763177,0.5862910312077018,0.006161312556223486,H1
0.0,0.3,0.33653333333333335,0.333479563272992,0.4731552192855827,0.9414608852418735,0.3613914531097118,0.0030537700603413542,0.13662188595224933,0.6049275519085402,0.024858119776378473,Original
0.0,0.6,0.3409333333333333,0.3334131140125685,0.7443434170206285,0.9716027759050019,0.41559301714527447,0.007520219320764798,0.40341008368729514,0.6306694425716686,0.07465968381194116,Original
0.0,0.9,0.36093333333333333,0.3333791689368413,0.939446067693825,0.9933547117173347,0.45459169196488874,0.027554164396492054,0.5785127343604917,0.6324213783840014,0.09365835863155542,Original
0.3,0.0,0.5268666666666667,0.48465069817307893,0.48478806509117534,0.9427551196698902,0.45442273016986034,0.042215968493587774,0.04207860157549137,0.4158884530032235,0.07244393649680636,H1
0.3,0.3,0.46573333333333333,0.4737938773123388,0.5912815344008737,0.9545833991630892,0.4754752843262764,0.008060543979005463,0.1255482010675404,0.4888500658297559,0.00974195099294306,Original
0.3,0.6,0.4945333333333333,0.47299993797057893,0.7934251153552176,0.9770533098688197,0.526130633953044,0.021533395362754393,0.2988917820218843,0.48251997653548634,0.03159730061971072,Original
0.3,0.9,0.6338,0.46774132534679286,0.9505875579291745,0.9945054422054034,0.5618192360583518,0.16605867465320717,0.31678755792917446,0.36070544220540335,0.07198076394164821,H2
0.6,0.0,0.7188666666666667,0.7341189900146734,0.7341650468151413,0.970461807459855,0.6539849674492739,0.015252323348006747,0.015298380148474622,0.25159514079318834,0.06488169921739273,Original
0.6,0.3,0.7208666666666667,0.7382365239738045,0.7947624822666484,0.9771943451583567,0.6860557411444829,0.017369857307137804,0.0738958155999817,0.25632767849169,0.03481092552218379,Original
0.6,0.6,0.7171333333333333,0.7361411175190498,0.8964870593734657,0.988509195574589,0.7366250540893715,0.01900778418571647,0.17935372604013244,0.27137586224125576,0.019491720756038222,Original
0.6,0.9,0.8527333333333333,0.7359646115418179,0.9744870095024656,0.9971802344384781,0.7758712319014337,0.11676872179151543,0.12175367616913224,0.1444469011051448,0.07686210143189964,H2
0.9,0.0,0.9167333333333333,0.93742973453087,0.9374464829092048,0.9930464913763903,0.8166456617109309,0.020696401197536685,0.02071314957587156,0.07631315804305705,0.1000876716224024,Original
0.9,0.3,0.9135333333333333,0.9381303229921343,0.952012007314226,0.9946617444120172,0.847122018203698,0.024596989658800972,0.038478673980892664,0.08112841107868385,0.06641131512963527,Original
0.9,0.6,0.9086,0.9332017629852365,0.9733767161920486,0.9970419225177054,0.8934051880752758,0.02460176298523653,0.06477671619204861,0.08844192251770544,0.015194811924724161,H2
0.9,0.9,0.9618666666666666,0.9390869292803214,0.9939177493312088,0.9993232198577013,0.9379597195211291,0.0227797373863452,0.03205108266454215,0.03745655319103469,0.023906947145537538,Original
